activeThreads,clients,cpu,fileDescriptors,free_disk_space,httpMeanTimes,httpSystemErrors,http_Gobal_Hits,systemLoad,threadCount,tomcatBusyThreads,tomcatBytesSent,usedConnections,usedMemory,usedPhysicalMemorySize
3,12,35,128,24300800000,1967,0,13831,1.08,30,3,1325240,26,54554800,1351810000
1,8,13,131,24299300000,353,0,13857,0.6,30,1,8467090,26,63579400,1361840000
0,9,7,123,24298700000,356,0,14156,0.25,30,0,7950640,26,60886600,1363420000
1,5,4,105,24298300000,97,0,14620,0.33,30,1,7378330,5,56432600,1366420000
0,1,4,61,24298000000,136,0,14927,0.45,30,0,7927500,5,73376900,1369400000
0,2,3,100,24297800000,18,0,15166,0.35,30,0,3591300,5,73330400,1370400000
0,2,1,61,24297700000,20,0,15361,0.29,30,0,2234170,5,74415700,1374660000
0,1,2,63,24297500000,21,0,15428,0.1,30,0,2176320,5,71879300,1375040000
0,0,1,62,24297400000,17,0,15542,0.04,30,0,2309000,5,76321300,1375300000
0,4,1,61,24297400000,17,0,15645,0.06,30,0,1047060,5,69133200,1375440000
0,3,1,66,24297000000,72,0,15690,0.02,28,0,1218590,7,60696400,1379840000
0,3,3,66,24296500000,32,0.49505,15719,0.11,28,0,4238630,7,64808300,1380480000
0,1,3,66,24296300000,20,0,15921,0.04,28,0,2829250,7,59698000,1395160000
0,0,2,62,24296200000,70,0,16093,0.02,28,0,4807340,5,74877600,1387100000
0,3,1,61,24296200000,15,0,16220,0.04,28,0,829395,5,65338500,1387100000
0,3,1,63,24295900000,69,0,16266,0.21,28,0,919341,5,60299800,1389480000
0,4,2,63,24295500000,26,0,16290,0.79,28,0,3430550,5,60139300,1390280000
0,4,2,63,24295200000,23,0,16454,0.6,28,0,3358430,5,79950200,1390760000
0,4,2,63,24295000000,60,0,16630,0.25,28,0,5918440,5,74850400,1391600000
0,1,2,63,24294700000,18,0,16827,0.37,28,0,3868720,5,57720300,1392040000
0,4,3,100,24294600000,19,0,17051,0.32,28,0,4058530,5,83184300,1393010000
1,4,1,63,24294300000,26,0,17245,0.16,28,1,1914970,5,72774100,1393700000
0,5,3,62,24293800000,23,0,17326,0.4,28,0,4302580,5,58824800,1394240000
0,7,4,103,24293200000,21,0,17546,0.15,28,0,4624980,5,62995600,1397550000
0,5,4,100,24292800000,38,0,17776,0.05,28,0,7264510,5,65928300,1398240000
1,5,5,62,24292200000,19,0,18038,0.1,28,1,6844420,5,64629300,1399130000
0,4,4,64,24292000000,22,0,18406,0.12,28,0,5883200,5,84680600,1402020000
0,7,4,63,24291400000,27,0,18686,0.16,28,0,6242230,5,82480000,1402900000
0,5,3,63,24290900000,18,0,18949,0.06,28,0,4692560,5,82554700,1403750000
0,7,4,63,24290100000,20,0,19195,0.02,28,0,6529400,6,64778900,1401840000
1,7,5,66,24289200000,26,0,19555,0.2,28,1,5663870,6,76375300,1404270000
0,3,3,62,24288800000,161,0,19841,0.07,28,0,8110700,5,85887100,1405370000
0,3,3,62,24288400000,14,0,20128,0.26,28,0,5807910,5,72457900,1414660000
0,4,1,63,24288300000,15,0,20487,0.1,28,0,4660180,5,86941400,1417100000
0,4,2,62,24287900000,18,0,20656,0.1,28,0,3390750,5,81708400,1419890000
1,7,2,100,24287500000,17,0,20838,0.16,28,1,4110950,5,76413800,1422340000
2,7,4,105,24286600000,93,0,21067,0.21,28,2,4816790,5,93041600,1423770000
0,3,4,100,24286000000,80,0,21286,0.08,28,0,7602060,5,70744100,1424460000
0,5,3,63,24285700000,18,0,21597,0.09,28,0,5839460,5,78117000,1425230000
0,3,2,62,24285400000,21,0,21952,0.03,28,0,5978190,5,64232900,1425680000
0,3,2,63,24284900000,18,0,22119,0.06,28,0,4940090,5,87680000,1426450000
0,1,2,63,24284800000,22,0,22382,0.14,28,0,3274150,5,95431500,1426790000
0,3,2,62,24284500000,20,0,22548,0.1,28,0,3682720,5,80917100,1427140000
0,0,1,62,24284300000,24,0,22694,0.04,28,0,1671430,5,78852000,1427310000
0,3,1,61,24284000000,19,0,22771,0.01,28,0,2691090,5,77798400,1427710000
0,0,1,62,24283700000,96,0,22908,0.01,28,0,1003070,5,84520700,1428000000
0,4,1,61,24283300000,32,0,22934,0.12,28,0,2828940,5,64203200,1428500000
0,2,1,66,24283000000,290,0,23064,0.04,28,0,1139150,7,78279000,1428710000
0,4,2,65,24282500000,42,0,23091,0.16,28,0,4162950,7,67724200,1429300000
0,0,2,66,24282200000,20,0,23285,0.06,28,0,2387860,7,77646400,1429680000
0,2,2,61,24281800000,39,0,23416,0.02,28,0,5120350,5,85937000,1430270000
0,1,0,63,24281700000,25,0,23577,0.01,28,0,692497,5,70375100,1430370000
0,1,1,61,24281400000,18,0,23596,0,28,0,2149740,5,96270800,1430720000
0,5,0,61,24281300000,15,0,23699,0,28,0,1536850,5,79896300,1430780000
1,5,1,66,24281000000,29,0,23756,0,28,1,2394960,6,72523200,1431220000
0,8,2,67,24280300000,38,0,23840,0,28,0,5411710,6,75860500,1431830000
0,7,2,66,24279800000,28,0,24113,0.41,28,0,5029550,6,64009700,1432470000
0,10,3,65,24279200000,248,0,24407,0.21,28,0,8521190,5,97792400,1433220000
0,6,3,66,24278600000,21,0,24647,0.08,28,0,6996190,5,98939800,1433920000
0,8,3,63,24278100000,176,0,25038,0.2,28,0,8042310,5,70433600,1434740000
1,10,3,65,24277600000,19,0,25354,0.34,28,1,6894240,5,78715000,1435320000
2,10,4,68,24276900000,88,0,25698,0.3,28,1,8494020,5,97525300,1436290000
0,13,4,64,24276400000,56,0,26044,0.25,28,0,8272010,5,98894200,1436980000
3,16,5,70,24275600000,90,0,26460,0.22,28,3,8386690,5,71738200,1440260000
3,12,5,72,24274300000,265,0,26904,0.19,28,3,8233510,5,82059300,1441760000
0,12,4,65,24273600000,297,0.252525,27225,0.27,28,0,8481810,5,90827500,1442550000
0,8,4,67,24273000000,57,0,27621,0.18,28,0,8316760,5,76744500,1445520000
0,10,4,66,24272400000,233,0.282486,28074,0.11,28,1,8246980,5,82798900,1446210000
1,10,3,68,24271900000,62,0,28428,0.08,28,1,8491510,5,81773300,1447010000
0,13,3,65,24271400000,27,0,28727,0.16,28,0,8205300,5,93318800,1447600000
0,10,4,70,24270500000,46,0,29153,0.13,28,0,8463350,5,107417000,1450820000
2,6,4,104,24269700000,105,0,29618,0.12,28,2,8214890,5,81174400,1451930000
0,9,4,61,24269000000,48,0,30025,0.52,28,0,7790490,5,83512200,1454620000
1,5,3,65,24268400000,96,0,30426,0.4,28,1,7073650,5,93343700,1455530000
0,4,3,63,24267700000,91,0,30711,0.3,28,0,7662070,5,83499800,1456150000
0,5,2,64,24267500000,14,0,31046,0.19,28,0,4461930,5,105995000,1456420000
0,5,2,65,24267200000,54,0,31321,0.07,28,0,6486220,5,76234300,1456820000
0,6,3,63,24266700000,16,0,31523,0.11,28,0,5014210,5,106608000,1457510000
0,7,2,65,24266300000,21,0,31810,0.32,28,0,5654920,5,89055000,1460320000
0,6,4,66,24265600000,24,0,32097,0.21,28,0,6059410,5,79596800,1461060000
0,9,3,63,24264700000,60,0,32434,0.4,28,0,7724360,5,94105400,1462070000
0,9,3,65,24264100000,29,0,32755,0.15,28,0,6854680,5,83306900,1464810000
2,9,3,104,24263400000,203,0,33099,0.3,28,2,8519940,5,103681000,1465670000
0,7,3,64,24262900000,47,0,33385,0.18,28,0,8344430,5,95814900,1466190000
0,6,3,65,24262500000,72,0,33818,0.18,28,0,8370920,5,81007400,1466830000
0,4,3,62,24262000000,20,0,34208,0.36,28,0,7874700,5,104530000,1469550000
0,4,3,63,24261400000,16,0,34556,0.13,28,0,5776910,5,91604000,1470120000
0,4,2,63,24261200000,16,0,34877,0.08,28,0,3504140,5,111996000,1470370000
0,2,4,64,24260300000,24,0,35105,0.06,28,0,5576200,5,102124000,1471460000
0,0,1,63,24260100000,14,0,35325,0.02,28,0,3475890,5,111153000,1471750000
0,0,1,61,24260000000,15,0,35530,0.09,28,0,2987380,5,103769000,1473970000
0,4,0,61,24260000000,15,0,35622,0.03,28,0,197,5,109605000,1473970000
0,0,1,66,24259700000,56,0,35622,0.01,28,0,1199240,6,90799600,1476260000
0,1,2,62,24259100000,40,0,35650,0.97,28,0,3827570,6,108776000,1476950000
0,3,0,63,24259100000,28,0,35824,1.07,28,0,351391,6,104917000,1477080000
0,7,1,63,24258700000,18,0,35834,1.11,28,0,1832880,5,114078000,1477340000
2,11,2,68,24258100000,57,0,35908,1.15,28,2,4136160,6,113983000,1478230000
1,8,4,69,24257100000,84,0,36083,1.1,28,1,7990710,6,101505000,1479260000
0,4,3,64,24256400000,146,0,36433,1.36,28,0,8151460,6,108087000,1479890000
0,5,2,63,24256100000,78,0,36785,1.3,28,0,6942760,6,107912000,1482530000
0,5,1,66,24255900000,104,0,37112,1.15,28,0,6254980,5,106435000,1482940000
0,1,2,65,24255500000,14,0,37293,1.22,28,0,5372480,5,122573000,1483350000
0,0,2,62,24255300000,16,0,37569,1.75,28,0,4217820,5,108717000,1483730000
0,2,0,61,24255200000,16,0,37814,0.64,28,0,1612960,5,90679100,1483620000
0,0,0,62,24255100000,31,0,37859,0.24,28,0,620094,5,104176000,1483820000
0,0,2,61,24254800000,21,0,37875,0.09,28,0,1978890,5,96289300,1484180000
0,3,0,61,24254800000,21,0,37966,0.03,28,0,196,5,102190000,1484190000
0,5,0,63,24254500000,50,0,37966,0.05,28,0,919338,5,100499000,1487180000
0,5,2,63,24253900000,16,0,37990,0.18,28,0,4109600,5,103225000,1487940000
0,9,2,66,24253500000,23,0,38175,0.18,28,0,5318050,5,97106600,1488520000
0,6,2,67,24252900000,77,0,38447,0.32,28,0,7178850,6,91316200,1489130000
0,6,3,65,24252300000,165,0,38708,0.12,28,0,8079430,6,115301000,1489750000
0,3,2,64,24252000000,15,0,39016,0.04,28,0,5580440,6,119727000,1490240000
0,2,2,62,24251800000,83,0,39359,0.09,28,0,7384250,5,109248000,1492590000
0,1,1,62,24251600000,14,0,39591,0.03,28,0,2810680,5,118746000,1492910000
0,0,1,62,24251500000,18,0,39752,0.01,28,0,1666560,5,112526000,1492990000
0,0,0,61,24251500000,18,0,39855,0,28,0,648245,5,93033400,1492990000
0,3,0,61,24251500000,18,0,39902,0,28,0,190,5,98653700,1492960000
0,7,0,65,24251200000,41,0,39902,0,28,0,982603,6,101463000,1493250000
1,6,2,67,24250400000,43,0,39927,0.05,28,1,4413490,6,93286600,1494040000
0,4,3,66,24249800000,30,0,40110,0.11,28,0,6536350,6,117144000,1494940000
0,8,2,65,24249500000,27,0,40465,0.12,28,0,6598920,6,88845200,1496020000
0,11,2,67,24249000000,80,0,40754,0.16,28,0,7850800,6,95017200,1499420000
0,9,4,69,24248000000,63,0,40952,0.1,28,0,8249010,6,86020000,1500550000
1,8,4,65,24247300000,43,0,41353,0.07,28,1,8154400,6,101946000,1501390000
0,8,3,65,24247000000,124,0,41815,0.37,28,0,8383560,5,71268900,1503850000
1,7,3,69,24246500000,93,0,42155,0.25,28,1,8370170,5,78461000,1505060000
0,10,3,62,24246100000,20,0,42484,0.13,28,0,7704610,5,98826100,1506550000
0,12,3,67,24245500000,23,0,42878,0.3,28,0,6913180,5,85949700,1507320000
0,8,6,69,24244200000,79,0,43274,0.3,28,0,8413010,5,84437200,1508810000
0,8,5,66,24242900000,114,0,43711,0.15,28,0,8247840,5,89708300,1510080000
1,4,3,67,24242100000,73,0,44114,0.16,28,1,8217260,5,80795100,1511020000
0,6,2,64,24241800000,45,0,44441,0.2,28,0,7990690,5,83756000,1511500000
0,5,2,64,24241400000,20,0,44793,0.29,28,0,5097400,5,107152000,1511910000
0,6,2,64,24240900000,15,0,45034,0.14,28,0,5819260,5,101057000,1512440000
0,8,3,67,24240300000,23,0,45360,0.09,28,0,5396620,5,83567300,1513080000
0,8,4,66,24239300000,36,0,45646,0.17,28,0,8006330,5,72963000,1514190000
0,5,3,66,24238800000,27,0,45960,0.18,28,0,7878000,5,89948000,1514840000
0,5,3,62,24238400000,32,0,46381,0.16,28,0,7581700,5,97454800,1515240000
0,5,3,64,24238000000,27,0,46744,0.09,28,0,6277640,5,80239700,1515880000
0,4,2,63,24237600000,16,0,47007,0.07,28,0,4353630,5,98247500,1516430000
0,0,3,63,24237100000,16,0,47242,0.03,28,0,4688660,5,90041000,1516970000
0,4,2,99,24236500000,21,0,47516,0.04,28,0,3302890,5,112385000,1517570000
0,4,1,103,24236200000,82,0,47698,0.05,28,0,1220650,6,85964700,1517900000
0,4,2,65,24235600000,31,0,47728,0.02,28,0,4445350,6,96290600,1518540000
1,10,2,66,24235200000,36,0,47945,0.07,28,1,4540350,6,99640200,1519190000
0,10,2,70,24234500000,259,0,48187,0.03,28,0,8426660,5,103844000,1519860000
0,7,3,63,24233800000,32,0,48403,0.21,28,0,7834780,5,75679800,1520710000
0,7,2,67,24233500000,48,0,48834,0.08,28,0,7587460,6,113447000,1521190000
0,8,2,66,24233100000,88,0,49170,0.03,28,0,8215730,6,89352100,1521480000
0,5,3,63,24232500000,26,0,49468,0.46,28,0,7073490,6,89980700,1522240000
0,9,2,64,24232200000,14,0,49837,0.17,28,0,4675920,6,115038000,1522660000
0,9,3,68,24231400000,32,0,50120,0.13,28,0,6471120,6,106294000,1523550000
4,13,5,75,24229700000,136,0,50409,0.05,28,4,8183000,7,115961000,1525590000
0,13,4,71,24228900000,98,0,50754,0.08,28,0,8472320,7,118755000,1526410000
3,15,3,72,24228300000,59,0,51179,0.33,28,3,8239280,7,87840500,1527310000
5,19,3,79,24227700000,530,0,51658,0.21,28,5,8293160,7,92956300,1528270000
5,19,3,79,24227000000,997,0,51964,0.08,29,5,8269690,7,81198100,1529370000
1,19,2,78,24226500000,679,0.355872,52242,0.03,29,1,8633870,7,117490000,1529880000
2,21,3,76,24226000000,148,0,52523,0.1,29,2,8281290,5,87219600,1530540000
2,21,3,74,24225400000,160,0,52900,0.19,29,2,8204220,5,98042600,1530960000
2,25,4,80,24224800000,196,0,53349,0.11,29,2,8573220,6,120557000,1532050000
1,29,3,86,24224100000,351,0,53789,0.3,29,1,8305100,6,106966000,1533010000
0,29,3,74,24223400000,351,0,54167,0.11,29,0,8212380,6,88200700,1533420000
3,24,3,115,24222900000,171,0,54560,0.16,29,3,8343710,5,116955000,1534580000
1,24,4,114,24222100000,234,0.440529,55002,0.33,29,1,8372680,5,121053000,1535080000
4,28,5,82,24220900000,180,0,55456,0.35,29,4,8254670,6,96573600,1536560000
4,24,4,75,24220100000,755,0,55863,0.29,29,5,8308510,6,101027000,1537660000
0,24,3,78,24219500000,387,0.292398,56201,0.3,29,0,8509890,6,103981000,1538360000
3,24,3,75,24218900000,95,0,56543,0.21,29,3,8186510,5,114362000,1539020000
1,27,3,77,24218200000,393,0.253807,56950,0.17,29,1,8350570,5,118079000,1539680000
2,25,4,115,24217500000,247,0,57344,0.16,29,2,8332780,5,124167000,1540530000
1,25,4,73,24216800000,200,0,57770,0.23,29,1,8159760,5,105387000,1541200000
3,28,4,80,24215900000,272,0,58177,0.35,29,3,8351290,5,109858000,1542530000
3,24,4,77,24215000000,561,0.558659,58566,0.29,29,4,8349710,5,125342000,1543330000
1,24,3,74,24214500000,162,0,58924,0.24,29,1,8339400,5,93852700,1543670000
1,25,3,75,24214000000,164,0,59322,0.09,29,1,8239000,5,101780000,1544340000
0,21,8,111,24213100000,254,0.246914,59723,0.27,29,0,8374710,5,105098000,1546570000
2,24,4,110,24212200000,103,0,60128,0.23,29,2,8251810,5,128654000,1549980000
3,23,4,78,24211200000,329,0.529101,60555,0.09,29,3,8268370,5,125623000,1551340000
1,21,3,72,24210500000,197,0,60933,0.14,29,1,8358730,5,105989000,1554100000
2,21,4,72,24209800000,79,0,61333,0.23,29,2,8319280,5,134235000,1554780000
3,26,3,82,24209200000,245,0,61798,0.16,29,3,8367690,7,114411000,1555870000
2,26,5,115,24208100000,464,0.251889,62217,0.06,29,3,8393200,7,129937000,1559120000
1,31,4,124,24207200000,477,0.257069,62614,0.19,29,1,8467270,8,133228000,1561760000
6,31,3,86,24206300000,606,0.30303,63003,0.48,29,6,8003830,8,117424000,1563420000
5,36,3,91,24205600000,614,0.27933,63333,0.29,30,5,8597500,8,133694000,1565300000
4,36,4,87,24204600000,771,0.552486,63691,0.35,30,4,8392450,8,83709500,1571200000
4,41,4,91,24203400000,424,0,64053,0.31,30,4,8370970,8,83954000,1575020000
3,41,3,91,24202600000,571,0.530504,64425,0.31,30,5,8085450,8,83447200,1577760000
8,46,3,92,24201800000,510,0.246305,64802,0.15,30,9,8497530,8,81305600,1579340000
5,46,3,83,24201200000,798,0.759494,65208,0.13,31,6,8291910,7,88673000,1579770000
6,51,6,102,24200300000,926,0.243309,65603,0.2,31,8,8414220,8,118253000,1582010000
4,51,3,131,24199400000,371,0.486618,66014,0.11,31,4,8492210,8,89552400,1582570000
7,56,3,130,24198600000,503,0.821918,66425,0.19,31,8,8274580,8,104056000,1583960000
5,56,3,90,24197800000,1197,1.40845,66790,0.17,32,5,8622110,5,126645000,1585470000
9,61,3,98,24197000000,697,0.52356,67145,0.18,33,10,8200460,6,83385000,1586480000
7,61,3,92,24196400000,806,0.511509,67527,0.07,33,8,8482190,6,110591000,1587150000
5,66,3,97,24195500000,1217,1.26904,67918,0.02,33,6,8631360,6,96975100,1588230000
3,66,3,101,24195000000,881,0.952381,68312,0.12,33,5,8488320,5,106183000,1588930000
8,71,4,101,24194100000,709,0.518135,68732,0.04,33,9,8410140,5,88866400,1589730000
5,71,3,88,24193500000,890,1.8617,69118,0.23,33,5,8443340,5,113135000,1590300000
10,76,4,101,24192600000,1019,0.735294,69494,0.09,34,11,8378740,5,126706000,1592250000
4,76,3,90,24192000000,1403,0.757576,69902,0.26,35,5,8482770,5,114639000,1592760000
6,81,3,99,24191100000,792,0.239808,70298,0.09,35,7,8425690,5,93299900,1593790000
10,81,4,99,24190300000,685,0.777202,70715,0.13,35,10,8254690,5,125629000,1595020000
12,86,4,110,24189300000,1187,1.26263,71101,0.3,35,12,8722590,5,111056000,1596700000
8,86,3,98,24188500000,1282,1.02564,71497,0.11,35,8,8746160,5,104855000,1597600000
11,91,4,103,24187500000,1410,1.52672,71887,0.04,36,12,8347850,5,118560000,1599660000
17,91,2,122,24187000000,1745,3.59281,72280,0.47,39,18,3946400,5,126093000,1602640000
7,96,3,105,24186300000,2513,2.66667,72447,0.21,39,9,6889210,6,101280000,1603560000
16,96,1,124,24186000000,1735,3.0303,72747,0.46,39,18,3092640,6,133409000,1603750000
10,101,3,108,24185200000,2330,3.40909,72879,0.29,39,15,7035730,6,137331000,1605020000
8,101,3,112,24184600000,884,0.932401,73231,0.11,39,9,8800090,5,125118000,1605800000
9,106,3,108,24183700000,1042,0.78329,73660,0.29,39,10,8752270,5,140499000,1605430000
5,106,3,106,24183100000,1139,0.480769,74043,0.34,39,6,8441610,5,130313000,1608720000
12,111,2,99,24182600000,1090,2.29358,74459,0.42,39,12,4751100,5,123836000,1609600000
11,111,3,113,24182000000,780,2.7027,74677,0.41,41,12,5850040,6,154111000,1615720000
13,116,4,114,24181100000,874,0.464037,74973,0.24,41,14,8559220,6,138373000,1614620000
5,116,3,106,24180500000,2500,0.724638,75404,0.59,41,5,8757910,8,135304000,1617920000
9,121,3,121,24179700000,676,0.898876,75818,0.37,43,11,8585810,19,150234000,1621510000
2,121,3,151,24179100000,1196,1.27877,76263,0.28,43,3,8312220,19,125044000,1623020000
9,126,4,122,24178200000,762,1.41844,76654,0.14,43,10,8454460,17,145774000,1624290000
6,126,3,107,24177400000,1046,1.07239,77077,0.12,43,6,8672140,14,148341000,1627950000
1,131,3,94,24176700000,844,1.33333,77450,0.17,43,2,8075480,10,151001000,1628170000
7,131,4,150,24175700000,894,0.477327,77825,0.18,43,7,8761210,12,139275000,1632420000
9,136,4,102,24174900000,919,1.5625,78244,0.06,43,9,7883920,12,99709200,1633150000
3,136,4,92,24174100000,1527,0.519481,78628,0.09,44,5,8452590,13,125648000,1636250000
9,141,4,162,24173100000,955,2.34375,79013,0.62,51,11,8246560,29,87721100,1639420000
4,141,3,176,24172400000,956,1.76322,79397,1.15,51,5,8734890,29,131674000,1639940000
0,146,3,163,24171800000,517,1.02564,79794,0.81,51,0,8245920,27,101377000,1640000000
2,146,3,145,24170700000,793,2.80899,80184,0.98,51,5,8071400,36,114735000,1644020000
9,151,1,121,24170300000,593,2.85714,80540,0.54,51,10,2666660,36,95370300,1646470000
15,151,1,164,24170000000,2145,1.49254,80680,0.73,51,16,2231420,27,91437700,1648170000
5,156,2,125,24169600000,3242,2.5641,80814,0.52,53,10,4448010,42,116235000,1649020000
0,156,3,132,24168800000,1954,0,81009,0.29,53,0,7553690,42,131885000,1648740000
4,161,3,155,24168100000,396,0.649351,81373,0.14,55,4,8541750,58,126954000,1650330000
8,161,4,164,24167300000,577,1.07066,81835,0.26,55,8,8842010,58,106060000,1653020000
8,166,3,212,24166500000,907,0.990099,82302,0.09,55,8,8365500,35,139267000,1651900000
9,166,4,188,24165500000,1183,1.7284,82706,0.29,55,10,8465130,35,131836000,1652640000
7,171,4,167,24164700000,1331,2.94118,83111,0.11,55,10,8592600,45,132918000,1654340000
8,171,4,181,24163800000,883,1.3986,83553,0.04,55,8,8363790,45,112572000,1656010000
7,176,4,155,24162800000,1528,2.02532,83982,0.01,55,9,8118420,50,155464000,1657040000
6,176,4,211,24161700000,982,5.02793,84377,0.01,56,7,8635300,66,138934000,1659620000
10,181,4,192,24160600000,946,1.79028,84735,0.18,56,11,8305620,68,160701000,1661320000
6,181,3,182,24159700000,1406,3.003,85126,0.07,56,7,7841320,72,118486000,1662610000
2,186,3,180,24158800000,992,2.28426,85459,0.02,56,3,8755440,81,166136000,1664270000
6,186,4,198,24157800000,869,1.28535,85853,0.17,56,7,8192550,81,160589000,1666520000
7,191,4,206,24156600000,1084,6.00962,86242,0.1,57,10,8633580,99,140097000,1672100000
3,191,3,193,24155900000,1771,2.24359,86658,0.18,57,3,7779620,99,126492000,1671970000
6,196,3,195,24155100000,1208,1.08932,86970,0.06,57,8,8976370,100,137952000,1673760000
7,196,4,202,24154100000,1198,1.28535,87429,0.12,57,8,8389920,100,141152000,1687630000
4,201,3,208,24153400000,953,1.75824,87818,0.05,57,5,8935090,100,119776000,1690120000
3,201,3,219,24152600000,1060,2.04082,88273,0.51,57,5,8393430,117,114987000,1695900000
4,206,3,229,24152100000,459,1.45631,88714,0.69,57,4,8387820,117,128979000,1695550000
7,206,3,215,24151000000,504,1.54242,89126,0.49,57,8,8399590,117,145611000,1696430000
1,211,2,262,24150400000,1292,2.45614,89515,0.35,57,1,6688380,133,136807000,1696400000
7,211,3,233,24149600000,427,2.73684,89800,0.4,66,10,8549540,133,145257000,1702460000
8,216,3,253,24148800000,1060,1.37931,90275,0.31,66,9,8694880,134,129692000,1704660000
7,216,3,251,24147900000,1086,0.956938,90710,0.19,66,8,8445010,134,123049000,1705800000
2,221,2,239,24147300000,1295,1.69492,91128,0.07,66,3,7834670,141,148878000,1707650000
200,266,0,3353,24146500000,170001,0,91762,0.03,218,200,216970,152,203914000,1844910000
200,300,10,3205,24084700000,6536,96.0478,97626,2.37,218,200,20263400,152,394929000,1829940000
200,300,10,3205,24084700000,6536,96.0478,97626,2.37,218,200,20263400,152,394929000,1829940000
200,300,10,3205,24084700000,6536,96.0478,97626,2.37,218,200,20263400,152,394929000,1829940000
200,300,10,3205,24084700000,6536,96.0478,97626,2.37,218,200,20263400,152,394929000,1829940000
200,300,10,3205,24084700000,6536,96.0478,97626,2.37,218,200,20263400,152,394929000,1829940000
200,300,10,3205,24084700000,6536,96.0478,97626,2.37,218,200,20263400,152,394929000,1829940000
200,300,10,3205,24084700000,6536,96.0478,97626,2.37,218,200,20263400,152,394929000,1829940000
200,300,10,3205,24084700000,6536,96.0478,97626,2.37,218,200,20263400,152,394929000,1829940000
200,300,10,3205,24084700000,6536,96.0478,97626,2.37,218,200,20263400,152,394929000,1829940000
200,300,10,3205,24084700000,6536,96.0478,97626,2.37,218,200,20263400,152,394929000,1829940000
200,300,10,3205,24084700000,6536,96.0478,97626,2.37,218,200,20263400,152,394929000,1829940000
1,300,15,210,24061900000,1355,97.3994,99549,3.22,218,1,29680400,152,422974000,1706240000
200,300,0,992,24060600000,123394,0,102511,0.15,218,200,27310,152,444941000,1612390000
74,205,29,4132,24008400000,174319,95.747,207,7.3,218,200,67801700,152,375056000,1860400000
74,205,29,4132,24008400000,174319,95.747,207,7.3,218,200,67801700,152,375056000,1860400000
74,205,29,4132,24008400000,174319,95.747,207,7.3,218,200,67801700,152,375056000,1860400000
74,205,29,4132,24008400000,174319,95.747,207,7.3,218,200,67801700,152,375056000,1860400000
74,205,29,4132,24008400000,174319,95.747,207,7.3,218,200,67801700,152,375056000,1860400000
74,205,29,4132,24008400000,174319,95.747,207,7.3,218,200,67801700,152,375056000,1860400000
74,205,29,4132,24008400000,174319,95.747,207,7.3,218,200,67801700,152,375056000,1860400000
74,205,29,4132,24008400000,174319,95.747,207,7.3,218,200,67801700,152,375056000,1860400000
74,205,29,4132,24008400000,174319,95.747,207,7.3,218,200,67801700,152,375056000,1860400000
