"_0","(-inf-22768]","(22768-23129.5]","(23129.5-inf)"
"_1","(-inf-5922.5]","(5922.5-5999]","(5999-inf)"
"_2","(-inf-5788]","(5788-5917.5]","(5917.5-inf)"
"_3","(-inf-2909]","(2909-3074.5]","(3074.5-inf)"
"_4","(-inf-2880.5]","(2880.5-3033.5]","(3033.5-inf)"
"_5","(-inf-2801]","(2801-2881]","(2881-inf)"
"_6","(-inf-1709]","(1709-1815.5]","(1815.5-inf)"
"_7","(-inf-1076.5]","(1076.5-1079.5]","(1079.5-inf)"
"_8","(-inf-778.5]","(778.5-822]","(822-inf)"
"_9","(-inf-600.5]","(600.5-662.5]","(662.5-inf)"
"_10","(-inf-548.5]","(548.5-589.5]","(589.5-inf)"
"_11","(-inf-515]","(515-555.5]","(555.5-inf)"
"_12","(-inf-450.5]","(450.5-494]","(494-inf)"
"_13","(-inf-359.5]","(359.5-361]","(361-inf)"
"_14","(-inf-359.5]","(359.5-361]","(361-inf)"
"_15","(-inf-299.5]","(299.5-302]","(302-inf)"
"_16","(-inf-299.5]","(299.5-302.5]","(302.5-inf)"
"_17","(-inf-298.5]","(298.5-299.5]","(299.5-inf)"
"_18","(-inf-737]","(737-805]","(805-inf)"
"_19","(-inf-123]","(123-153]","(153-inf)"
"_20","(-inf-178.5]","(178.5-179.5]","(179.5-inf)"
"_21","(-inf-177.5]","(177.5-178.5]","(178.5-inf)"
"_22","(-inf-177.5]","(177.5-178.5]","(178.5-inf)"
"_23","(-inf-177.5]","(177.5-178.5]","(178.5-inf)"
"_24","(-inf-177.5]","(177.5-178.5]","(178.5-inf)"
"_25","(-inf-176.5]","(176.5-178.5]","(178.5-inf)"
"_26","(-inf-144.5]","(144.5-155.5]","(155.5-inf)"
"_27","(-inf-65.5]","(65.5-inf)"
"_28","(-inf-59.5]","(59.5-inf)"
"_29","(-inf-59.5]","(59.5-inf)"
"_30","(-inf-59.5]","(59.5-inf)"
"_31","(-inf-59.5]","(59.5-inf)"
"_32","(-inf-59.5]","(59.5-inf)"
"_33","(-inf-59.5]","(59.5-inf)"
"_34","(-inf-59.5]","(59.5-inf)"
"_35","(-inf-59.5]","(59.5-inf)"
"_36","(-inf-59.5]","(59.5-inf)"
"_37","(-inf-59.5]","(59.5-inf)"
"_38","(-inf-59.5]","(59.5-inf)"
"_39","(-inf-59.5]","(59.5-inf)"
"_40","(-inf-59.5]","(59.5-inf)"
"_41","(-inf-59.5]","(59.5-inf)"
"_42","(-inf-59.5]","(59.5-inf)"
"_43","(-inf-59.5]","(59.5-inf)"
"_44","(-inf-59.5]","(59.5-inf)"
"_45","(-inf-59.5]","(59.5-inf)"
"_46","(-inf-59.5]","(59.5-inf)"
"_47","(-inf-59.5]","(59.5-inf)"
"_48","(-inf-59.5]","(59.5-61]","(61-inf)"
"_49","(-inf-59.5]","(59.5-61]","(61-inf)"
"_50","(-inf-58.5]","(58.5-59.5]","(59.5-inf)"
"_51","(-inf-58.5]","(58.5-59.5]","(59.5-inf)"
"_52","(-inf-58.5]","(58.5-59.5]","(59.5-inf)"
"_53","(-inf-57.5]","(57.5-59.5]","(59.5-inf)"
"_54","(-inf-57.5]","(57.5-58.5]","(58.5-inf)"
"_55","(-inf-51.5]","(51.5-53.5]","(53.5-inf)"
"_56","(-inf-58.5]","(58.5-59.5]","(59.5-inf)"
"_57","(-inf-0.5]","(0.5-64.5]","(64.5-inf)"
"_58","(-inf-6.5]","(6.5-62]","(62-inf)"
"_59","All"
"_60","(-inf-227]","(227-574.5]","(574.5-inf)"
"_61","(-inf-227]","(227-573]","(573-inf)"
"_62","(-inf-15.5]","(15.5-20.5]","(20.5-inf)"
"_63","(-inf-14.5]","(14.5-19.5]","(19.5-inf)"
"_64","(-inf-12.5]","(12.5-19.5]","(19.5-inf)"
"_65","All"
"_66","All"
"_67","(-inf-20]","(20-117.5]","(117.5-inf)"
"_68","(-inf-13]","(13-118.5]","(118.5-inf)"
"_69","(-inf-6.5]","(6.5-10.5]","(10.5-inf)"
"_70","All"
"_71","(-inf-6.5]","(6.5-7.5]","(7.5-inf)"
"_72","(-inf-2]","(2-37]","(37-inf)"
"_73","(-inf-6]","(6-59.5]","(59.5-inf)"
"_74","(-inf-6.5]","(6.5-59.5]","(59.5-inf)"
"_75","(-inf-6.5]","(6.5-58.5]","(58.5-inf)"
"_76","(-inf-6]","(6-58.5]","(58.5-inf)"
"_77","(-inf-1]","(1-20.5]","(20.5-inf)"
"_78","(-inf-1]","(1-20.5]","(20.5-inf)"
"_79","(-inf-23]","(23-103.5]","(103.5-inf)"
"_80","(-inf-23.5]","(23.5-102.5]","(102.5-inf)"
"_81","(-inf-1.5]","(1.5-3.5]","(3.5-inf)"
"_82","(-inf-1.5]","(1.5-2.5]","(2.5-inf)"
"_83","All"
"_84","(-inf-0.5]","(0.5-8.5]","(8.5-inf)"
"_85","(-inf-0.5]","(0.5-8.5]","(8.5-inf)"
"_86","All"
"_87","(-inf-0.5]","(0.5-1.5]","(1.5-inf)"
"_88","(-inf-0.5]","(0.5-1.5]","(1.5-inf)"
"_89","(-inf-0.5]","(0.5-1.5]","(1.5-inf)"
"_90","(-inf-737]","(737-805]","(805-inf)"
"_91","(-inf-0.5]","(0.5-1.5]","(1.5-inf)"
"_92","All"
"_93","(-inf-0.5]","(0.5-1.5]","(1.5-inf)"
"_94","(-inf-0.5]","(0.5-1.5]","(1.5-inf)"
"_95","(-inf-0.5]","(0.5-1.5]","(1.5-inf)"
"_96","(-inf-0.5]","(0.5-1.5]","(1.5-inf)"
"_97","(-inf-0.5]","(0.5-1.5]","(1.5-inf)"
"_98","(-inf-0.5]","(0.5-1.5]","(1.5-inf)"
"_99","(-inf-0.5]","(0.5-1.5]","(1.5-inf)"
